Judul,Merek,Model_Detail,Harga,Tahun,Kilometer,Lokasi,UsiaMobil,Inflasi,HargaSekarang_DeflasiKeThnBuat,EstimasiHargaAwal_PadaThnBuat,EstimasiHargaAwal_NilaiSaatIni,DepresiasiRiilAbsolut_PerThn_PadaThnBuat,DepresiasiRiilNormal_PersenPerThn,DepresiasiAbsolut_PerThn_NilaiSaatIni
2023 Honda HR-V 1.5 Special Edition SUV,Honda,HR-V Special Edition,345000000.0,2023,17500,DKI Jakarta,2,0.036701314237700705,332786305.23747605,410847290.41663706,425925925.9259259,39030492.589580506,9.499999999999996,40462962.962962955
2021 Wuling Confero 1.5 MPV,Wuling,Confero,100000000.0,2021,24000,DKI Jakarta,4,0.015601299052567299,98463836.2448806,150074434.1485758,152415790.27587256,12902649.475923803,8.597499999999998,13103947.56896814
2003 Suzuki Escudo 1.6 SUV,Suzuki,Escudo,62000000.0,2003,186000,Jawa Barat,22,0.0675731719362853,58075644.48959408,406529511.42715853,434000000.0,15838812.133525657,3.896103896103896,16909090.90909091
2017 Toyota Vellfire 2.5 G MPV,Toyota,Vellfire G,650000000.0,2017,57500,DKI Jakarta,8,0.0380879806953157,626151166.4595397,1454585046.0004597,1509987253.15222,103554234.942615,7.1191598749999985,107498406.6440275
2018 BMW X3 2.0 xDrive20i Luxury SUV,BMW,X3 xDrive20i Luxury,9540000000.0,2018,47500,Banten,7,0.031983464156241,9244334169.443296,19327606282.71539,19945770085.48456,1440467444.7531562,7.452901428571428,1486538583.6406512
2013 Honda Brio 1.3 E Hatchback,Honda,Brio E,120000000.0,2013,77500,Jawa Barat,12,0.06412513301564181,112768692.58780687,399280804.66680634,424884739.3766578,23876009.33991662,5.979753862658332,25407061.61472148
2019 Mitsubishi Xpander 1.5 Ultimate MPV,Mitsubishi,Xpander Ultimate,220000000.0,2019,87500,Jawa Timur,6,0.030305866496948698,213528823.96758783,401792153.72466147,413968813.09496254,31377221.62617894,7.809316666666666,32328135.51582709
2008 Mitsubishi Lancer 2.0 Ex GT Sedan,Mitsubishi,Lancer Ex GT,158000000.0,2008,162500,Jawa Barat,17,0.102266645473148,143340997.0707936,859503719.8261106,947402282.0244194,42127218.98560688,4.90134225296079,46435428.35437761
2010 Toyota Alphard 2.4 G MPV,Toyota,Alphard G,220000000.0,2010,52000,DKI Jakarta,15,0.0513420400767928,209256351.98981544,1016344656.8141621,1068525864.916149,53805886.98828978,5.294059119369007,56568390.99440993
2022 Hyundai IONIQ 5 Signature Long Range SUV,Hyundai,IONIQ 5 Signature Long Range,450000000.0,2022,63000,DKI Jakarta,3,0.042094638340216504,431822584.4792101,592349224.2513169,617283950.6172839,53508879.92403561,9.033333333333331,55761316.87242798
2022 Wuling Air EV Long Range Hatchback,Wuling,Air EV Long Range,141000000.0,2022,27500,DKI Jakarta,3,0.042094638340216504,135304409.8034858,185602756.9320793,193415637.86008227,16766115.709531158,9.033333333333331,17471879.28669409
2013 Honda Brio 1.3 E Hatchback,Honda,Brio E,99000000.0,2013,87500,Jawa Barat,12,0.06412513301564181,93034171.38494067,329406663.85011524,350529909.9857427,19697707.70543121,5.979753862658332,20960825.832145225
2022 Honda Brio 1.2 RS Hatchback,Honda,Brio RS,188000000.0,2022,42500,DKI Jakarta,3,0.042094638340216504,180405879.73798108,247470342.5761057,257887517.14677638,22354820.946041543,9.033333333333331,23295839.04892546
2019 Mitsubishi Pajero Sport 2.4 Dakar 4X2 SUV,Mitsubishi,Pajero Sport Dakar 4X2,400000000.0,2019,39000,Jawa Barat,6,0.030305866496948698,388234225.39561427,730531188.5902936,752670569.2635683,57049493.8657799,7.809316666666668,58778428.21059471
2012 Honda Freed 1.5 E MPV,Honda,Freed E,143000000.0,2012,117500,Jawa Barat,13,0.0427949999641975,137131459.20809907,539491336.1664256,562578867.8783526,30950759.76602512,5.737026285900769,32275297.52910405
2023 Toyota Alphard 2.5 G MPV,Toyota,Alphard G,1050000000.0,2023,2500,DKI Jakarta,2,0.036701314237700705,1012827885.5053618,1250404796.9201996,1296296296.2962961,118788455.70741892,9.499999999999996,123148148.14814806
2022 Mitsubishi Pajero Sport 2.4 Dakar Ultimate 4X2 SUV,Mitsubishi,Pajero Sport Dakar Ultimate 4X2,480000000.0,2022,37500,DKI Jakarta,3,0.042094638340216504,460610756.77782404,631839172.534738,658436213.9917694,57076138.585637964,9.033333333333328,59478737.99725648
2014 Mitsubishi Pajero Sport 2.5 Dakar 4X2 SUV,Mitsubishi,Pajero Sport Dakar 4X2,280000000.0,2014,72500,DKI Jakarta,11,0.0639492540819922,263170446.26493257,838628298.5468597,892257952.6909816,52314350.207447916,6.238085490090907,55659813.88099833
2014 Honda Jazz 1.5 RS Hatchback,Honda,Jazz RS,177000000.0,2014,127500,DKI Jakarta,11,0.0639492540819922,166361317.81747523,530132888.72426486,564034491.5225134,33070142.809708152,6.238085490090909,35184953.77477395
2017 Mercedes-Benz C200 2.0 AMG Line Sedan,Mercedes-Benz,C200 AMG Line,395000000.0,2017,27500,DKI Jakarta,8,0.0380879806953157,380507247.31002796,883940143.3387408,917607638.4540412,62929112.00358911,7.1191598749999985,65325954.806755155
2016 Mercedes-Benz E300 2.0 Avantgarde Sedan,Mercedes-Benz,E300 Avantgarde,545000000.0,2016,12500,DKI Jakarta,9,0.035258051568793,526438793.85832983,1358830544.0870209,1406740261.4836922,92487972.24763234,6.8064390111111095,95748917.94263247
2022 Suzuki Ertiga 1.5 GX MPV,Suzuki,Ertiga GX,214500000.0,2022,17500,DKI Jakarta,3,0.042094638340216504,205835431.93509012,282353130.22646105,294238683.127572,25505899.430456977,9.033333333333331,26579561.042524
2013 Honda Jazz 1.5 S Hatchback,Honda,Jazz S,125000000.0,2013,138000,Jawa Barat,12,0.06412513301564181,117467388.11229882,415917504.8612566,442588270.18401855,24870843.062413145,5.979753862658332,26465689.182001546
2015 Toyota Rush 1.5 G SUV,Toyota,Rush G,152000000.0,2015,130000,Jawa Barat,10,0.0636312113115612,142906675.15535685,409852341.6428374,435931742.60045093,26694566.648748055,6.513215599,28393174.260045093
2007 Toyota Avanza 1.5 S MPV,Toyota,Avanza S,97000000.0,2007,162500,Jawa Barat,18,0.06406562813257011,91159790.74545854,607348760.7673416,646258940.6214395,28677165.001215726,4.721696470572226,30514385.59007997
